PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 01-04,GREG COVERDALE,Republican Party,49,11.04 %
Election District 01-05,COLLEEN DAVIS,Democratic Party,672,82.86 %
Election District 01-05,GREG COVERDALE,Republican Party,139,17.14 %
Election District 01-06,COLLEEN DAVIS,Democratic Party,170,89.01 %
Election District 01-06,GREG COVERDALE,Republican Party,21,10.99 %
Election District 01-07,COLLEEN DAVIS,Democratic Party,91,90.1 %
Election District 01-07,GREG COVERDALE,Republican Party,10,9.9 %
Election District 01-08,COLLEEN DAVIS,Democratic Party,628,78.3 %
Election District 01-08,GREG COVERDALE,Republican Party,174,21.7 %
Election District 01-09,COLLEEN DAVIS,Democratic Party,489,85.64 %
Election District 01-09,GREG COVERDALE,Republican Party,82,14.36 %
Election District 01-10,COLLEEN DAVIS,Democratic Party,383,94.33 %
Election District 01-10,GREG COVERDALE,Republican Party,23,5.67 %
Election District 01-11,COLLEEN DAVIS,Democratic Party,341,90.21 %
Election District 01-11,GREG COVERDALE,Republican Party,37,9.79 %
Election District 01-12,COLLEEN DAVIS,Democratic Party,63,81.82 %
Election District 01-12,GREG COVERDALE,Republican Party,14,18.18 %
Election District 01-13,COLLEEN DAVIS,Democratic Party,459,82.85 %
Election District 01-13,GREG COVERDALE,Republican Party,95,17.15 %
Election District 01-14,COLLEEN DAVIS,Democratic Party,366,81.88 %
Election District 01-14,GREG COVERDALE,Republican Party,81,18.12 %
Election District 01-15,COLLEEN DAVIS,Democratic Party,5,83.33 %
Election District 01-15,GREG COVERDALE,Republican Party,1,16.67 %
Election District 01-16,COLLEEN DAVIS,Democratic Party,17,68 %
Election District 01-16,GREG COVERDALE,Republican Party,8,32 %
Election District 01-17,COLLEEN DAVIS,Democratic Party,0,0 %
Election District 01-17,GREG COVERDALE,Republican Party,0,0 %
Election District 02-01,COLLEEN DAVIS,Democratic Party,142,93.42 %
Election District 02-01,GREG COVERDALE,Republican Party,10,6.58 %
Election District 02-02,COLLEEN DAVIS,Democratic Party,167,87.89 %
Election District 02-02,GREG COVERDALE,Republican Party,23,12.11 %
Election District 02-03,COLLEEN DAVIS,Democratic Party,75,76.53 %
Election District 02-03,GREG COVERDALE,Republican Party,23,23.47 %
Election District 02-04,COLLEEN DAVIS,Democratic Party,208,85.6 %
Election District 02-04,GREG COVERDALE,Republican Party,35,14.4 %
Election District 02-05,COLLEEN DAVIS,Democratic Party,139,81.29 %
Election District 02-05,GREG COVERDALE,Republican Party,32,18.71 %
Election District 02-06,COLLEEN DAVIS,Democratic Party,252,88.73 %
Election District 02-06,GREG COVERDALE,Republican Party,32,11.27 %
Election District 02-07,COLLEEN DAVIS,Democratic Party,317,62.52 %
Election District 02-07,GREG COVERDALE,Republican Party,190,37.48 %
Election District 02-08,COLLEEN DAVIS,Democratic Party,254,83.55 %
Election District 02-08,GREG COVERDALE,Republican Party,50,16.45 %
Election District 02-09,COLLEEN DAVIS,Democratic Party,216,93.51 %
Election District 02-09,GREG COVERDALE,Republican Party,15,6.49 %
Election District 02-10,COLLEEN DAVIS,Democratic Party,159,90.86 %
Election District 02-10,GREG COVERDALE,Republican Party,16,9.14 %
Election District 02-11,COLLEEN DAVIS,Democratic Party,285,90.48 %
Election District 02-11,GREG COVERDALE,Republican Party,30,9.52 %
Election District 02-12,COLLEEN DAVIS,Democratic Party,82,71.3 %
Election District 02-12,GREG COVERDALE,Republican Party,33,28.7 %
Election District 02-13,COLLEEN DAVIS,Democratic Party,40,86.96 %
Election District 02-13,GREG COVERDALE,Republican Party,6,13.04 %
Election District 02-14,COLLEEN DAVIS,Democratic Party,33,75 %
Election District 02-14,GREG COVERDALE,Republican Party,11,25 %
Election District 02-15,COLLEEN DAVIS,Democratic Party,39,82.98 %
Election District 02-15,GREG COVERDALE,Republican Party,8,17.02 %
Election District 02-16,COLLEEN DAVIS,Democratic Party,302,87.79 %
Election District 02-16,GREG COVERDALE,Republican Party,42,12.21 %
Election District 02-17,COLLEEN DAVIS,Democratic Party,161,87.5 %
Election District 02-17,GREG COVERDALE,Republican Party,23,12.5 %
Election District 02-18,COLLEEN DAVIS,Democratic Party,34,85 %
Election District 02-18,GREG COVERDALE,Republican Party,6,15 %
Election District 02-19,COLLEEN DAVIS,Democratic Party,5,83.33 %
Election District 02-19,GREG COVERDALE,Republican Party,1,16.67 %
Election District 02-20,COLLEEN DAVIS,Democratic Party,9,100 %
Election District 02-20,GREG COVERDALE,Republican Party,0,0 %
Election District 02-21,COLLEEN DAVIS,Democratic Party,3,100 %
Election District 02-21,GREG COVERDALE,Republican Party,0,0 %
Election District 02-22,COLLEEN DAVIS,Democratic Party,0,0 %
Election District 02-22,GREG COVERDALE,Republican Party,0,0 %
Election District 02-23,COLLEEN DAVIS,Democratic Party,0,0 %
Election District 02-23,GREG COVERDALE,Republican Party,0,0 %
Election District 03-01,COLLEEN DAVIS,Democratic Party,214,91.45 %
Election District 03-01,GREG COVERDALE,Republican Party,20,8.55 %
Election District 03-02,COLLEEN DAVIS,Democratic Party,460,73.84 %
Election District 03-02,GREG COVERDALE,Republican Party,163,26.16 %
Election District 03-03,COLLEEN DAVIS,Democratic Party,291,80.61 %
Election District 03-03,GREG COVERDALE,Republican Party,70,19.39 %
Election District 03-04,COLLEEN DAVIS,Democratic Party,290,92.06 %
Election District 03-04,GREG COVERDALE,Republican Party,25,7.94 %
Election District 03-05,COLLEEN DAVIS,Democratic Party,317,84.99 %
Election District 03-05,GREG COVERDALE,Republican Party,56,15.01 %
Election District 03-06,COLLEEN DAVIS,Democratic Party,76,87.36 %
Election District 03-06,GREG COVERDALE,Republican Party,11,12.64 %
Election District 03-07,COLLEEN DAVIS,Democratic Party,275,83.08 %
Election District 03-07,GREG COVERDALE,Republican Party,56,16.92 %
Election District 03-08,COLLEEN DAVIS,Democratic Party,341,73.97 %
Election District 03-08,GREG COVERDALE,Republican Party,120,26.03 %
Election District 03-09,COLLEEN DAVIS,Democratic Party,328,84.97 %
Election District 03-09,GREG COVERDALE,Republican Party,58,15.03 %
Election District 03-10,COLLEEN DAVIS,Democratic Party,116,67.84 %
Election District 03-10,GREG COVERDALE,Republican Party,55,32.16 %
Election District 03-11,COLLEEN DAVIS,Democratic Party,103,79.84 %
Election District 03-11,GREG COVERDALE,Republican Party,26,20.16 %
Election District 03-12,COLLEEN DAVIS,Democratic Party,30,73.17 %
Election District 03-12,GREG COVERDALE,Republican Party,11,26.83 %
Election District 03-13,COLLEEN DAVIS,Democratic Party,28,73.68 %
Election District 03-13,GREG COVERDALE,Republican Party,10,26.32 %
Election District 03-14,COLLEEN DAVIS,Democratic Party,84,65.12 %
Election District 03-14,GREG COVERDALE,Republican Party,45,34.88 %
Election District 04-01,COLLEEN DAVIS,Democratic Party,467,46.33 %
Election District 04-01,GREG COVERDALE,Republican Party,541,53.67 %
Election District 04-02,COLLEEN DAVIS,Democratic Party,584,49.66 %
Election District 04-02,GREG COVERDALE,Republican Party,592,50.34 %
Election District 04-03,COLLEEN DAVIS,Democratic Party,450,45.78 %
Election District 04-03,GREG COVERDALE,Republican Party,533,54.22 %
Election District 04-04,COLLEEN DAVIS,Democratic Party,916,43.72 %
Election District 04-04,GREG COVERDALE,Republican Party,"1,179",56.28 %
Election District 04-05,COLLEEN DAVIS,Democratic Party,399,33.67 %
Election District 04-05,GREG COVERDALE,Republican Party,786,66.33 %
Election District 04-06,COLLEEN DAVIS,Democratic Party,311,39.47 %
Election District 04-06,GREG COVERDALE,Republican Party,477,60.53 %
Election District 04-07,COLLEEN DAVIS,Democratic Party,222,35.92 %
Election District 04-07,GREG COVERDALE,Republican Party,396,64.08 %
Election District 04-08,COLLEEN DAVIS,Democratic Party,422,42.84 %
Election District 04-08,GREG COVERDALE,Republican Party,563,57.16 %
Election District 04-09,COLLEEN DAVIS,Democratic Party,768,40.46 %
Election District 04-09,GREG COVERDALE,Republican Party,"1,130",59.54 %
Election District 04-10,COLLEEN DAVIS,Democratic Party,177,40.88 %
Election District 04-10,GREG COVERDALE,Republican Party,256,59.12 %
Election District 04-11,COLLEEN DAVIS,Democratic Party,154,40.74 %
Election District 04-11,GREG COVERDALE,Republican Party,224,59.26 %
Election District 05-01,COLLEEN DAVIS,Democratic Party,596,75.16 %
Election District 05-01,GREG COVERDALE,Republican Party,197,24.84 %
Election District 05-02,COLLEEN DAVIS,Democratic Party,224,67.47 %
Election District 05-02,GREG COVERDALE,Republican Party,108,32.53 %
Election District 05-03,COLLEEN DAVIS,Democratic Party,298,79.05 %
Election District 05-03,GREG COVERDALE,Republican Party,79,20.95 %
Election District 05-04,COLLEEN DAVIS,Democratic Party,357,84.4 %
Election District 05-04,GREG COVERDALE,Republican Party,66,15.6 %
Election District 05-05,COLLEEN DAVIS,Democratic Party,435,86.48 %
Election District 05-05,GREG COVERDALE,Republican Party,68,13.52 %
Election District 05-06,COLLEEN DAVIS,Democratic Party,463,80.94 %
Election District 05-06,GREG COVERDALE,Republican Party,109,19.06 %
Election District 05-07,COLLEEN DAVIS,Democratic Party,336,78.5 %
Election District 05-07,GREG COVERDALE,Republican Party,92,21.5 %
Election District 05-08,COLLEEN DAVIS,Democratic Party,697,70.62 %
Election District 05-08,GREG COVERDALE,Republican Party,290,29.38 %
Election District 05-09,COLLEEN DAVIS,Democratic Party,283,80.86 %
Election District 05-09,GREG COVERDALE,Republican Party,67,19.14 %
Election District 05-10,COLLEEN DAVIS,Democratic Party,364,86.05 %
Election District 05-10,GREG COVERDALE,Republican Party,59,13.95 %
Election District 05-11,COLLEEN DAVIS,Democratic Party,53,68.83 %
Election District 05-11,GREG COVERDALE,Republican Party,24,31.17 %
Election District 06-01,COLLEEN DAVIS,Democratic Party,411,62.94 %
Election District 06-01,GREG COVERDALE,Republican Party,242,37.06 %
Election District 06-02,COLLEEN DAVIS,Democratic Party,524,58.09 %
Election District 06-02,GREG COVERDALE,Republican Party,378,41.91 %
Election District 06-03,COLLEEN DAVIS,Democratic Party,131,59.28 %
Election District 06-03,GREG COVERDALE,Republican Party,90,40.72 %
Election District 06-04,COLLEEN DAVIS,Democratic Party,429,71.26 %
Election District 06-04,GREG COVERDALE,Republican Party,173,28.74 %
Election District 06-05,COLLEEN DAVIS,Democratic Party,377,78.38 %
Election District 06-05,GREG COVERDALE,Republican Party,104,21.62 %
Election District 06-06,COLLEEN DAVIS,Democratic Party,598,71.19 %
Election District 06-06,GREG COVERDALE,Republican Party,242,28.81 %
Election District 06-07,COLLEEN DAVIS,Democratic Party,436,59 %
Election District 06-07,GREG COVERDALE,Republican Party,303,41 %
Election District 06-08,COLLEEN DAVIS,Democratic Party,333,65.42 %
Election District 06-08,GREG COVERDALE,Republican Party,176,34.58 %
Election District 06-09,COLLEEN DAVIS,Democratic Party,655,67.95 %
Election District 06-09,GREG COVERDALE,Republican Party,309,32.05 %
Election District 06-10,COLLEEN DAVIS,Democratic Party,559,61.77 %
Election District 06-10,GREG COVERDALE,Republican Party,346,38.23 %
Election District 06-11,COLLEEN DAVIS,Democratic Party,477,62.03 %
Election District 06-11,GREG COVERDALE,Republican Party,292,37.97 %
Election District 06-12,COLLEEN DAVIS,Democratic Party,588,59.27 %
Election District 06-12,GREG COVERDALE,Republican Party,404,40.73 %
Election District 06-13,COLLEEN DAVIS,Democratic Party,397,69.41 %
Election District 06-13,GREG COVERDALE,Republican Party,175,30.59 %
Election District 06-14,COLLEEN DAVIS,Democratic Party,53,69.74 %
Election District 06-14,GREG COVERDALE,Republican Party,23,30.26 %
Election District 06-15,COLLEEN DAVIS,Democratic Party,57,62.64 %
Election District 06-15,GREG COVERDALE,Republican Party,34,37.36 %
Election District 06-16,COLLEEN DAVIS,Democratic Party,0,0 %
Election District 06-16,GREG COVERDALE,Republican Party,0,0 %
Election District 07-01,COLLEEN DAVIS,Democratic Party,329,59.28 %
Election District 07-01,GREG COVERDALE,Republican Party,226,40.72 %
Election District 07-02,COLLEEN DAVIS,Democratic Party,388,71.19 %
Election District 07-02,GREG COVERDALE,Republican Party,157,28.81 %
Election District 07-03,COLLEEN DAVIS,Democratic Party,290,62.23 %
Election District 07-03,GREG COVERDALE,Republican Party,176,37.77 %
Election District 07-04,COLLEEN DAVIS,Democratic Party,391,74.9 %
Election District 07-04,GREG COVERDALE,Republican Party,131,25.1 %
Election District 07-05,COLLEEN DAVIS,Democratic Party,666,75.17 %
Election District 07-05,GREG COVERDALE,Republican Party,220,24.83 %
Election District 07-06,COLLEEN DAVIS,Democratic Party,389,62.14 %
Election District 07-06,GREG COVERDALE,Republican Party,237,37.86 %
Election District 07-07,COLLEEN DAVIS,Democratic Party,457,66.52 %
Election District 07-07,GREG COVERDALE,Republican Party,230,33.48 %
Election District 07-08,COLLEEN DAVIS,Democratic Party,253,61.11 %
Election District 07-08,GREG COVERDALE,Republican Party,161,38.89 %
Election District 07-09,COLLEEN DAVIS,Democratic Party,354,63.21 %
Election District 07-09,GREG COVERDALE,Republican Party,206,36.79 %
Election District 07-10,COLLEEN DAVIS,Democratic Party,311,73.52 %
Election District 07-10,GREG COVERDALE,Republican Party,112,26.48 %
Election District 07-11,COLLEEN DAVIS,Democratic Party,310,74.88 %
Election District 07-11,GREG COVERDALE,Republican Party,104,25.12 %
Election District 07-12,COLLEEN DAVIS,Democratic Party,310,76.73 %
Election District 07-12,GREG COVERDALE,Republican Party,94,23.27 %
Election District 07-13,COLLEEN DAVIS,Democratic Party,2,100 %
Election District 07-13,GREG COVERDALE,Republican Party,0,0 %
Election District 08-01,COLLEEN DAVIS,Democratic Party,238,34.1 %
Election District 08-01,GREG COVERDALE,Republican Party,460,65.9 %
Election District 08-02,COLLEEN DAVIS,Democratic Party,545,62.86 %
Election District 08-02,GREG COVERDALE,Republican Party,322,37.14 %
Election District 08-03,COLLEEN DAVIS,Democratic Party,399,67.74 %
Election District 08-03,GREG COVERDALE,Republican Party,190,32.26 %
Election District 08-04,COLLEEN DAVIS,Democratic Party,395,76.85 %
Election District 08-04,GREG COVERDALE,Republican Party,119,23.15 %
Election District 08-05,COLLEEN DAVIS,Democratic Party,773,67.28 %
Election District 08-05,GREG COVERDALE,Republican Party,376,32.72 %
Election District 08-06,COLLEEN DAVIS,Democratic Party,459,50.83 %
Election District 08-06,GREG COVERDALE,Republican Party,444,49.17 %
Election District 08-07,COLLEEN DAVIS,Democratic Party,253,49.41 %
Election District 08-07,GREG COVERDALE,Republican Party,259,50.59 %
Election District 08-08,COLLEEN DAVIS,Democratic Party,697,64.3 %
Election District 08-08,GREG COVERDALE,Republican Party,387,35.7 %
Election District 08-09,COLLEEN DAVIS,Democratic Party,414,51.62 %
Election District 08-09,GREG COVERDALE,Republican Party,388,48.38 %
Election District 08-10,COLLEEN DAVIS,Democratic Party,462,65.81 %
Election District 08-10,GREG COVERDALE,Republican Party,240,34.19 %
Election District 08-11,COLLEEN DAVIS,Democratic Party,188,53.56 %
Election District 08-11,GREG COVERDALE,Republican Party,163,46.44 %
Election District 09-01,COLLEEN DAVIS,Democratic Party,332,37.35 %
Election District 09-01,GREG COVERDALE,Republican Party,557,62.65 %
Election District 09-02,COLLEEN DAVIS,Democratic Party,521,61.15 %
Election District 09-02,GREG COVERDALE,Republican Party,331,38.85 %
Election District 09-03,COLLEEN DAVIS,Democratic Party,611,50.29 %
Election District 09-03,GREG COVERDALE,Republican Party,604,49.71 %
Election District 09-04,COLLEEN DAVIS,Democratic Party,177,50.43 %
Election District 09-04,GREG COVERDALE,Republican Party,174,49.57 %
Election District 09-05,COLLEEN DAVIS,Democratic Party,411,63.23 %
Election District 09-05,GREG COVERDALE,Republican Party,239,36.77 %
Election District 09-06,COLLEEN DAVIS,Democratic Party,341,61.78 %
Election District 09-06,GREG COVERDALE,Republican Party,211,38.22 %
Election District 09-07,COLLEEN DAVIS,Democratic Party,7,28 %
Election District 09-07,GREG COVERDALE,Republican Party,18,72 %
Election District 09-08,COLLEEN DAVIS,Democratic Party,268,50.28 %
Election District 09-08,GREG COVERDALE,Republican Party,265,49.72 %
Election District 09-09,COLLEEN DAVIS,Democratic Party,46,33.82 %
Election District 09-09,GREG COVERDALE,Republican Party,90,66.18 %
Election District 09-10,COLLEEN DAVIS,Democratic Party,524,58.88 %
Election District 09-10,GREG COVERDALE,Republican Party,366,41.12 %
Election District 09-11,COLLEEN DAVIS,Democratic Party,645,46.2 %
Election District 09-11,GREG COVERDALE,Republican Party,751,53.8 %
Election District 09-12,COLLEEN DAVIS,Democratic Party,671,50.91 %
Election District 09-12,GREG COVERDALE,Republican Party,647,49.09 %
